GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
user-service,com.ecommerce.userservice.security.services,UserDetailsImpl,72,30,6,0,20,11,12,5,9,5
user-service,com.ecommerce.userservice.security.services,UserDetailsServiceImpl,21,0,0,0,4,0,3,0,3,0
user-service,com.ecommerce.userservice.security,WebSecurityConfig,93,0,0,0,18,0,10,0,10,0
user-service,com.ecommerce.userservice.model,Role.ERole,0,21,0,0,0,4,0,1,0,1
user-service,com.ecommerce.userservice.model,Role,78,47,20,2,1,4,15,6,4,6
user-service,com.ecommerce.userservice.model,User,466,62,90,0,11,9,60,15,15,15
user-service,com.ecommerce.userservice,UserServiceApplication,5,3,0,0,2,1,1,1,1,1
user-service,com.ecommerce.userservice.service.impl,UserServiceImpl,92,199,9,8,15,44,12,11,6,8
user-service,com.ecommerce.userservice.config,DatabaseInitializer,118,0,4,0,32,0,7,0,5,0
user-service,com.ecommerce.userservice.config,OpenApiConfig,62,0,0,0,22,0,2,0,2,0
user-service,com.ecommerce.userservice.dto,LoginRequest,98,17,22,0,0,3,15,5,4,5
user-service,com.ecommerce.userservice.dto,JwtResponse,279,39,54,0,2,13,38,7,11,7
user-service,com.ecommerce.userservice.dto,MessageResponse,69,9,14,0,1,2,12,2,5,2
user-service,com.ecommerce.userservice.dto,SignupRequest,264,52,62,0,0,8,35,15,4,15
user-service,com.ecommerce.userservice.security.jwt,AuthTokenFilter,68,7,8,0,17,2,6,2,2,2
user-service,com.ecommerce.userservice.security.jwt,JwtUtils,89,4,0,0,23,1,5,1,5,1
user-service,com.ecommerce.userservice.security.jwt,AuthEntryPointJwt,13,4,0,0,4,1,2,1,2,1
user-service,com.ecommerce.userservice.controller,UserController,35,3,0,0,9,1,4,1,4,1
user-service,com.ecommerce.userservice.controller,TestController,8,3,0,0,4,1,4,1,4,1
user-service,com.ecommerce.userservice.controller,AuthController,0,19,0,0,0,5,0,3,0,3
